experiment_id,test_loss,test_metric,test_status
ENC_chs16_ks_5_att_None_smooth_True_raw,1.04630708694458,0.4260249554367201,True
ENC_chs16_ks_5_att_None_smooth_True_rh,0.9724701642990112,0.5240641711229946,True
ENC_chs16_ks_5_att_None_smooth_True_ticks,1.0741831064224243,0.4295900178253119,True
ENC_chs16_ks_5_att_convattn_smooth_False_beats,1.1342731714248655,0.392156862745098,True
ENC_chs16_ks_5_att_convattn_smooth_False_bpm_estimates,1.079319715499878,0.3885918003565062,True
ENC_chs16_ks_5_att_convattn_smooth_False_onset_strength,1.021065592765808,0.5222816399286988,True
ENC_chs16_ks_5_att_convattn_smooth_False_raw,1.0235142707824707,0.4919786096256685,True
ENC_chs16_ks_5_att_convattn_smooth_False_rh,0.9208372235298156,0.5864527629233511,True
ENC_chs16_ks_5_att_convattn_smooth_False_ticks,1.1624027490615845,0.392156862745098,True
ENC_chs16_ks_5_att_convattn_smooth_True_beats,1.059649109840393,0.46524064171123,True
ENC_chs16_ks_5_att_convattn_smooth_True_bpm_estimates,1.1091899871826172,0.35650623885918,True
ENC_chs16_ks_5_att_convattn_smooth_True_onset_strength,0.9407517313957214,0.5490196078431373,True
ENC_chs16_ks_5_att_convattn_smooth_True_raw,0.9969905018806458,0.4527629233511586,True
ENC_chs16_ks_5_att_convattn_smooth_True_rh,0.8896144032478333,0.6131907308377896,True
ENC_chs16_ks_5_att_convattn_smooth_True_ticks,1.0347517728805542,0.4616755793226381,True
ENC_chs16_ks_5_att_posenc_smooth_False_beats,1.0749168395996094,0.4260249554367201,True
ENC_chs16_ks_5_att_posenc_smooth_False_bpm_estimates,1.0894298553466797,0.3957219251336898,True
ENC_chs16_ks_5_att_posenc_smooth_False_onset_strength,0.9160424470901488,0.5668449197860963,True
ENC_chs16_ks_5_att_posenc_smooth_False_raw,0.9641775488853456,0.5508021390374331,True
ENC_chs16_ks_5_att_posenc_smooth_False_rh,0.9013463258743286,0.6007130124777184,True
ENC_chs16_ks_5_att_posenc_smooth_False_ticks,1.0968843698501587,0.3814616755793226,True
ENC_chs16_ks_5_att_posenc_smooth_True_beats,1.0739027261734009,0.4598930481283422,True
ENC_chs16_ks_5_att_posenc_smooth_True_bpm_estimates,1.0670162439346311,0.4349376114081996,True
ENC_chs16_ks_5_att_posenc_smooth_True_onset_strength,0.9482468366622924,0.5151515151515151,True
ENC_chs16_ks_5_att_posenc_smooth_True_raw,1.0112487077713013,0.5008912655971479,True
